,Temperature,Humidity,Wind Speed,Cloudiness,Latitude,Longitude,Date,Country
102,69.8,83,16.11,1,-13.71,-76.2,1575506761,PE
103,75.2,73,6.93,90,19.71,-155.08,1575506601,US
104,42.8,56,17.22,75,39.62,-77.74,1575506761,US
105,5.0,84,4.7,1,60.79,-161.76,1575506762,US
106,-2.2,77,1.5,90,64.86,-147.8,1575506762,US
107,74.93,90,15.48,75,-22.35,-60.04,1575506762,PY
108,66.2,88,10.45,53,15.34,74.49,1575506762,IN
109,77.36,86,3.65,99,-13.68,48.45,1575506762,MG
110,14.0,85,6.93,90,55.74,-97.86,1575506762,CA
111,79.88,77,10.07,73,21.46,-71.14,1575506763,TC
112,84.49,69,2.75,32,-3.66,152.44,1575506465,PG
113,84.2,70,6.93,74,5.66,-67.63,1575506763,CO
114,75.47,49,4.5,2,-20.3,44.28,1575506763,MG
115,64.4,38,7.92,1,30.3,-99.24,1575506763,US
116,87.96,65,1.12,10,-6.12,141.3,1575506763,PG
117,65.08,28,2.55,0,-28.55,16.43,1575506764,ZA
118,8.6,92,3.36,90,58.81,-122.69,1575506764,CA
119,81.82,78,5.08,100,0.53,72.93,1575506764,MV
120,55.87,59,17.16,52,29.96,122.3,1575506764,CN
121,-6.11,78,4.85,33,66.15,-65.72,1575506764,CA
122,75.0,88,3.36,20,-20.34,57.76,1575506764,MU
123,72.0,44,6.13,71,27.97,-114.04,1575506764,MX
124,82.4,54,13.87,75,21.32,-158.01,1575506765,US
125,76.14,86,1.72,98,-7.53,-46.04,1575506765,BR
126,80.24,83,8.1,67,4.14,96.13,1575506765,ID
127,17.2,51,6.22,27,35.32,102.79,1575506765,CN
128,70.77,81,7.81,99,10.35,107.08,1575506765,VN
129,50.36,78,9.26,83,-38.31,-60.23,1575506765,AR
130,86.27,61,0.63,90,-3.36,135.5,1575506766,ID
131,55.4,58,1.45,20,17.54,44.22,1575506766,SA
132,53.6,76,10.29,92,-42.48,-73.76,1575506766,CL
133,37.8,90,26.69,100,66.2,13.02,1575506766,NO
134,75.0,88,3.36,20,-20.41,57.7,1575506766,MU
135,85.08,50,7.87,39,3.38,-59.8,1575506766,GY
136,25.29,85,34.94,100,63.05,179.32,1575506767,RU
137,32.58,87,4.34,32,36.14,49.22,1575506767,IR
138,64.4,39,23.04,75,-42.88,147.33,1575506728,AU
139,33.8,86,4.7,40,44.65,-63.58,1575506499,CA
140,19.4,95,10.92,96,51.16,55.0,1575506767,RU
141,64.94,98,4.32,59,-24.01,-48.35,1575506767,BR
142,84.2,74,5.82,75,-19.55,169.27,1575506768,VU
143,63.0,26,3.36,1,29.56,-104.41,1575506768,US
144,35.01,74,14.99,90,44.76,-85.62,1575506707,US
145,82.4,65,4.7,63,10.15,-85.45,1575506702,CR
146,64.4,39,23.04,75,-43.03,147.26,1575506768,AU
147,20.86,36,7.38,42,39.73,98.49,1575506768,CN
148,-18.18,99,3.31,100,63.75,121.63,1575506769,RU
149,70.54,75,5.17,0,21.28,-88.27,1575506769,MX
150,57.2,67,5.82,20,37.73,-25.67,1575506769,PT
151,28.4,92,2.75,75,47.91,-97.06,1575506769,US
152,42.8,80,4.7,75,39.31,-74.98,1575506769,US
153,78.8,94,1.12,75,1.24,111.46,1575506769,MY
154,72.79,77,18.97,90,-23.87,35.38,1575506770,MZ
155,23.56,85,5.7,48,50.68,156.12,1575506770,RU
156,83.39,74,9.57,97,10.57,72.64,1575506770,IN
157,16.05,76,17.63,89,65.42,-52.9,1575506770,GL
158,74.48,93,2.19,99,-4.12,104.17,1575506770,ID
159,83.57,72,3.71,51,-2.02,147.27,1575506770,PG
160,79.0,69,16.11,40,20.89,-156.47,1575506771,US
161,71.71,15,4.61,11,18.74,7.39,1575506771,NE
162,33.8,92,16.11,40,70.86,29.09,1575506771,NO
163,-11.34,93,12.19,100,70.62,147.9,1575506771,RU
164,50.0,61,26.4,40,35.03,136.69,1575506771,JP
165,-30.19,100,3.04,100,71.64,128.87,1575506772,RU
166,71.6,28,17.22,100,-43.15,172.73,1575506772,NZ
167,53.01,46,9.17,75,35.74,139.53,1575506772,JP
168,28.4,74,43.62,75,78.22,15.63,1575506772,NO
169,48.0,93,2.24,70,44.2,0.62,1575506772,FR
170,58.68,71,2.06,90,38.52,-28.7,1575506772,PT
171,90.0,66,8.05,40,-16.99,145.42,1575506773,AU
172,45.84,84,8.68,100,-45.41,167.72,1575506773,NZ
173,62.6,77,6.93,75,22.62,120.31,1575506767,TW
174,57.2,47,9.17,0,27.21,60.69,1575506773,IR
